iso3,adm0_pcode,country,adm1_pcode,adm1_name,adm2_pcode,adm2_name
HTI,HT,Haiti,HT08,Grande'Anse,HT0812,Abricots
HTI,HT,Haiti,HT03,North,HT0321,Acul du Nord
HTI,HT,Haiti,HT09,North-West,HT0922,Anse-a-Foleur
HTI,HT,Haiti,HT02,South-East,HT0234,Anse-a-Pitre
HTI,HT,Haiti,HT10,Nippes,HT1021,Anse-a-Veau
HTI,HT,Haiti,HT01,West,HT0151,Anse a Galets
HTI,HT,Haiti,HT08,Grande'Anse,HT0821,Anse d'Hainault
HTI,HT,Haiti,HT05,Artibonite,HT0523,Anse Rouge
HTI,HT,Haiti,HT07,South,HT0731,Aquin
HTI,HT,Haiti,HT01,West,HT0141,Arcahaie
HTI,HT,Haiti,HT10,Nippes,HT1024,Arnaud
HTI,HT,Haiti,HT07,South,HT0723,Arniquet
HTI,HT,Haiti,HT03,North,HT0332,Bahon
HTI,HT,Haiti,HT09,North-West,HT0932,Baie de Henne
HTI,HT,Haiti,HT02,South-East,HT0221,Bainet
HTI,HT,Haiti,HT10,Nippes,HT1031,Baraderes
HTI,HT,Haiti,HT03,North,HT0362,Bas Limbe
HTI,HT,Haiti,HT09,North-West,HT0913,Bassin Bleu
HTI,HT,Haiti,HT08,Grande'Anse,HT0833,Beaumont
HTI,HT,Haiti,HT06,Centre,HT0632,Belladere
HTI,HT,Haiti,HT02,South-East,HT0231,Belle Anse
HTI,HT,Haiti,HT09,North-West,HT0933,Bombardopolis
HTI,HT,Haiti,HT08,Grande'Anse,HT0813,Bonbon
HTI,HT,Haiti,HT03,North,HT0351,Borgne
HTI,HT,Haiti,HT06,Centre,HT0623,Boucan Carre
HTI,HT,Haiti,HT01,West,HT0142,Cabaret
HTI,HT,Haiti,HT07,South,HT0714,Camp-Perrin
HTI,HT,Haiti,HT03,North,HT0311,Cap-Haitien
HTI,HT,Haiti,HT04,North-East,HT0422,Capotille
HTI,HT,Haiti,HT04,North-East,HT0434,Caracol
HTI,HT,Haiti,HT04,North-East,HT0442,Carice
HTI,HT,Haiti,HT01,West,HT0113,Carrefour
HTI,HT,Haiti,HT07,South,HT0733,Cavaillon
HTI,HT,Haiti,HT02,South-East,HT0213,Cayes-Jacmel
HTI,HT,Haiti,HT06,Centre,HT0614,Cerca Carvajal
HTI,HT,Haiti,HT06,Centre,HT0641,Cerca La Source
HTI,HT,Haiti,HT08,Grande'Anse,HT0815,Chambellan
HTI,HT,Haiti,HT09,North-West,HT0914,Chamsolme
HTI,HT,Haiti,HT07,South,HT0713,Chantal
HTI,HT,Haiti,HT07,South,HT0751,Chardonnieres
HTI,HT,Haiti,HT01,West,HT0117,Cite Soleil
HTI,HT,Haiti,HT08,Grande'Anse,HT0831,Corail
HTI,HT,Haiti,HT01,West,HT0134,Cornillon / Grand Bois
HTI,HT,Haiti,HT07,South,HT0741,Coteaux
HTI,HT,Haiti,HT02,South-East,HT0222,Cotes de Fer
HTI,HT,Haiti,HT01,West,HT0131,Croix-Des-Bouquets
HTI,HT,Haiti,HT08,Grande'Anse,HT0822,Dame Marie
HTI,HT,Haiti,HT01,West,HT0112,Delmas
HTI,HT,Haiti,HT05,Artibonite,HT0544,Desdunes
HTI,HT,Haiti,HT05,Artibonite,HT0541,Dessalines
HTI,HT,Haiti,HT03,North,HT0342,Dondon
HTI,HT,Haiti,HT05,Artibonite,HT0512,Ennery
HTI,HT,Haiti,HT04,North-East,HT0412,Ferrier
HTI,HT,Haiti,HT01,West,HT0135,Fonds-Verrettes
HTI,HT,Haiti,HT10,Nippes,HT1013,Fonds des Negres
HTI,HT,Haiti,HT04,North-East,HT0411,Fort-Liberte
HTI,HT,Haiti,HT01,West,HT0133,Ganthier
HTI,HT,Haiti,HT05,Artibonite,HT0511,Gonaives
HTI,HT,Haiti,HT10,Nippes,HT1032,Grand-Boucan
HTI,HT,Haiti,HT01,West,HT0123,Grand-Goave
HTI,HT,Haiti,HT02,South-East,HT0232,Grand Gosier
HTI,HT,Haiti,HT03,North,HT0331,Grande Riviere Du Nord
HTI,HT,Haiti,HT05,Artibonite,HT0543,Grande Saline
HTI,HT,Haiti,HT01,West,HT0116,Gressier
HTI,HT,Haiti,HT05,Artibonite,HT0521,Gros Morne
HTI,HT,Haiti,HT06,Centre,HT0611,Hinche
HTI,HT,Haiti,HT07,South,HT0716,Ile a Vache
HTI,HT,Haiti,HT02,South-East,HT0211,Jacmel
HTI,HT,Haiti,HT09,North-West,HT0934,Jean Rabel
HTI,HT,Haiti,HT08,Grande'Anse,HT0811,Jeremie
HTI,HT,Haiti,HT01,West,HT0115,Kenscoff
HTI,HT,Haiti,HT10,Nippes,HT1023,L'Asile
HTI,HT,Haiti,HT05,Artibonite,HT0513,L'Estere
HTI,HT,Haiti,HT05,Artibonite,HT0533,La Chapelle
HTI,HT,Haiti,HT09,North-West,HT0912,La Tortue
HTI,HT,Haiti,HT02,South-East,HT0214,La Vallee
HTI,HT,Haiti,HT03,North,HT0345,La Victoire
HTI,HT,Haiti,HT06,Centre,HT0631,Lascahobas
HTI,HT,Haiti,HT01,West,HT0121,Leogane
HTI,HT,Haiti,HT07,South,HT0752,Les Anglais
HTI,HT,Haiti,HT07,South,HT0711,Les Cayes
HTI,HT,Haiti,HT08,Grande'Anse,HT0823,Les Irois
HTI,HT,Haiti,HT03,North,HT0361,Limbe
HTI,HT,Haiti,HT03,North,HT0313,Limonade
HTI,HT,Haiti,HT06,Centre,HT0612,Maissade
HTI,HT,Haiti,HT07,South,HT0715,Maniche
HTI,HT,Haiti,HT02,South-East,HT0212,Marigot
HTI,HT,Haiti,HT05,Artibonite,HT0552,Marmelade
HTI,HT,Haiti,HT03,North,HT0323,Milot
HTI,HT,Haiti,HT10,Nippes,HT1011,Miragoane
HTI,HT,Haiti,HT06,Centre,HT0621,Mirebalais
HTI,HT,Haiti,HT09,North-West,HT0931,Mole Saint Nicolas
HTI,HT,Haiti,HT04,North-East,HT0443,Mombin Crochu
HTI,HT,Haiti,HT04,North-East,HT0423,Mont-Organise
HTI,HT,Haiti,HT08,Grande'Anse,HT0814,Moron
HTI,HT,Haiti,HT04,North-East,HT0421,Ouanaminthe
HTI,HT,Haiti,HT10,Nippes,HT1014,Paillant
HTI,HT,Haiti,HT04,North-East,HT0413,Perches
HTI,HT,Haiti,HT08,Grande'Anse,HT0834,Pestel
HTI,HT,Haiti,HT01,West,HT0114,Petion-Ville
HTI,HT,Haiti,HT01,West,HT0122,Petit-Goave
HTI,HT,Haiti,HT10,Nippes,HT1022,Petit Trou de Nippes
HTI,HT,Haiti,HT05,Artibonite,HT0542,Petite Riviere de l'Artibonite
HTI,HT,Haiti,HT10,Nippes,HT1012,Petite Riviere de Nippes
HTI,HT,Haiti,HT03,North,HT0344,Pignon
HTI,HT,Haiti,HT03,North,HT0372,Pilate
HTI,HT,Haiti,HT03,North,HT0322,Plaine du Nord
HTI,HT,Haiti,HT03,North,HT0371,Plaisance
HTI,HT,Haiti,HT10,Nippes,HT1025,Plaisance du Sud
HTI,HT,Haiti,HT01,West,HT0152,Pointe a Raquette
HTI,HT,Haiti,HT07,South,HT0742,Port-a-Piment
HTI,HT,Haiti,HT01,West,HT0111,Port-au-Prince
HTI,HT,Haiti,HT09,North-West,HT0911,Port-de-Paix
HTI,HT,Haiti,HT03,North,HT0352,Port-Margot
HTI,HT,Haiti,HT07,South,HT0721,Port-Salut
HTI,HT,Haiti,HT03,North,HT0312,Quartier Morin
HTI,HT,Haiti,HT03,North,HT0343,Ranquitte
HTI,HT,Haiti,HT07,South,HT0743,Roche a Bateau
HTI,HT,Haiti,HT08,Grande'Anse,HT0832,Roseaux
HTI,HT,Haiti,HT09,North-West,HT0921,Saint-Louis du Nord
HTI,HT,Haiti,HT05,Artibonite,HT0531,Saint-Marc
HTI,HT,Haiti,HT05,Artibonite,HT0551,Saint-Michel de l'Attalaye
HTI,HT,Haiti,HT03,North,HT0341,Saint-Raphael
HTI,HT,Haiti,HT07,South,HT0722,Saint Jean du Sud
HTI,HT,Haiti,HT07,South,HT0732,Saint Louis du Sud
HTI,HT,Haiti,HT04,North-East,HT0432,Sainte Suzanne
HTI,HT,Haiti,HT06,Centre,HT0622,Saut d'Eau
HTI,HT,Haiti,HT06,Centre,HT0633,Savanette
HTI,HT,Haiti,HT01,West,HT0118,Tabarre
HTI,HT,Haiti,HT05,Artibonite,HT0522,Terre Neuve
HTI,HT,Haiti,HT04,North-East,HT0433,Terrier Rouge
HTI,HT,Haiti,HT02,South-East,HT0233,Thiotte
HTI,HT,Haiti,HT06,Centre,HT0642,Thomassique
HTI,HT,Haiti,HT01,West,HT0132,Thomazeau
HTI,HT,Haiti,HT06,Centre,HT0613,Thomonde
HTI,HT,Haiti,HT07,South,HT0753,Tiburon
HTI,HT,Haiti,HT07,South,HT0712,Torbeck
HTI,HT,Haiti,HT04,North-East,HT0431,Trou du Nord
HTI,HT,Haiti,HT04,North-East,HT0441,Vallieres
HTI,HT,Haiti,HT05,Artibonite,HT0532,Verrettes
